model,label,experiment,mae,rmse,bias,within_1,mean_grade
gemini,run1,lab03-filmnow/runs/gemini31pro/run1,0.5357142857142858,0.8046923399068504,0.021428571428571547,0.8809523809523809,8.732142857142858
gemini,run2,lab03-filmnow/runs/gemini31pro/run2,0.39434523809523825,0.5998697775350915,0.1967261904761906,0.9404761904761905,8.907440476190477
gemini,run3,lab03-filmnow/runs/gemini31pro/run3,0.39107142857142857,0.5940678973540539,0.19761904761904767,0.9523809523809523,8.908333333333333
gpt,run1,lab03-filmnow/runs/gpt55/run1,1.604345238095238,1.7810080244999835,-1.5983928571428572,0.19047619047619047,7.112321428571429
gpt,run2,lab03-filmnow/runs/gpt55/run2,1.3928571428571428,1.5452500182972395,-1.3654761904761905,0.32142857142857145,7.345238095238095
gpt,run3,lab03-filmnow/runs/gpt55/run3,1.4311011904761906,1.6714809560116215,-1.3930059523809524,0.30952380952380953,7.317708333333333
